location_col,latitude,longitude
bpns-Belwindreefballs-CPOD,51.7044,2.8126
bpns-Birkenfels,51.6493,2.5338
bpns-Buitenratel,51.2405,2.5032
bpns-Cpowerreefballs-CPOD,51.58,2.9955
bpns-Faulbaums,51.3344,2.6148
bpns-G-88,51.4567,3.0697
bpns-Gardencity,51.4833,2.3
bpns-Grafton,51.4068,2.8182
bpns-Nauticaena,51.3,2.8667
bpns-Westhinder,51.38,2.45
