location_col,PAM,AT
Westhinder,19787,21273
Nauticaena,16767,19086
Grafton,27460,26197
Gardencity,16692,22626
G-88,3142,6657
Faulbaums,22305,25211
Cpowerreefballs,21520,25255
Buitenratel,18298,25269
Birkenfels,17439,24436
Belwindreefballs,16510,23360
