Species_Pair;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
Seabass & Cod;;;;;;;;;;;;
Seabass & Harbour Porpoise;0.18;0.18;0.18;0.1;0.2;0.2;0.2;0.2;0.222;0.222;0.222;0.222
Seabass & Dolphins;;;;;;;;;;;;
Cod & Harbour Porpoise;;;;0.1;0.1;0.1;0.1;0.1;0.111;0.111;0.111;0.111
Cod & Dolphins;;;;;;;;;;;;
Harbour Porpoise & Dolphins;0.18;0.18;0.18;;;;;;;;;
